Orthogroup	G_intestinalis_aa	G_muris_aa	S_salmonicida_aa
OG0000350	GL50803_5593	GMRT_10087	SS50377_27291, SS50377_28823
OG0000351	GL50803_5180	GMRT_10126	SS50377_21934, SS50377_21939
OG0000352	GL50803_15906	GMRT_10129	SS50377_22380, SS50377_26811
OG0000353	GL50803_86681	GMRT_10132, GMRT_23283	SS50377_22908
OG0000354	GL50803_86683	GMRT_10133, GMRT_23282	SS50377_22801
OG0000355	GL50803_101278	GMRT_10109	SS50377_28347, SS50377_28350
OG0000356	GL50803_5010	GMRT_10004	SS50377_25275, SS50377_26520
OG0000357	GL50803_4950	GMRT_13847, GMRT_23225	SS50377_22267
OG0000358	GL50803_16718	GMRT_11249	SS50377_26176, SS50377_28815
OG0000359	GL50803_9751	GMRT_14124	SS50377_27975, SS50377_27980
OG0000360	GL50803_16721	GMRT_11134, GMRT_15297	SS50377_21810
OG0000361	GL50803_6736	GMRT_10867, GMRT_20196	SS50377_22401
OG0000362	GL50803_16648	GMRT_12333	SS50377_21007, SS50377_21008
OG0000363	GL50803_6289, GL50803_9355	GMRT_10028	SS50377_25062
OG0000364	GL50803_10572, GL50803_86468, GL50803_87519	GMRT_10279	
OG0000365	GL50803_7192	GMRT_10276	SS50377_26096, SS50377_26099
OG0000366	GL50803_4590	GMRT_15315	SS50377_23567, SS50377_26128
OG0000367	GL50803_17296, GL50803_6132	GMRT_15249	SS50377_22131
OG0000368	GL50803_113793, GL50803_114623, GL50803_60969, GL50803_61458		
OG0000369	GL50803_16044	GMRT_14098, GMRT_15318	SS50377_23479
OG0000370	GL50803_60531	GMRT_15323	SS50377_21855, SS50377_23409
OG0000371	GL50803_9145	GMRT_13386	SS50377_24265, SS50377_24272
OG0000372	GL50803_2323	GMRT_15328	SS50377_23307, SS50377_23318
OG0000373	GL50803_39938	GMRT_10340	SS50377_21513, SS50377_26662
OG0000374	GL50803_17461	GMRT_10336	SS50377_25738, SS50377_25741
OG0000375	GL50803_17464	GMRT_10330, GMRT_11135	SS50377_26562
OG0000376	GL50803_17465, GL50803_7323	GMRT_10333	SS50377_23370
OG0000377	GL50803_30476, GL50803_9062	GMRT_11146	SS50377_28152
OG0000378	GL50803_102023, GL50803_10573	GMRT_13635, GMRT_15154	
OG0000379	GL50803_12119, GL50803_29277	GMRT_11124	SS50377_25902
OG0000380	GL50803_6757	GMRT_12128	SS50377_22299, SS50377_22306
OG0000381	GL50803_9779	GMRT_10165	SS50377_28160, SS50377_28166
OG0000382	GL50803_11354	GMRT_13398	SS50377_20621, SS50377_20628
OG0000383	GL50803_104994, GL50803_7287	GMRT_13406	SS50377_22509
OG0000384	GL50803_112962, GL50803_60565	GMRT_11971	SS50377_20980
OG0000385	GL50803_14763	GMRT_10054	SS50377_23214, SS50377_28836
OG0000386	GL50803_17254	GMRT_10063	SS50377_22735, SS50377_22736
OG0000387	GL50803_7309	GMRT_10062	SS50377_23032, SS50377_26998
OG0000388	GL50803_7306	GMRT_12799	SS50377_21982, SS50377_26987
OG0000389	GL50803_13667	GMRT_12796	SS50377_24157, SS50377_27943
OG0000390	GL50803_9541	GMRT_12459	SS50377_22981, SS50377_22987
OG0000391	GL50803_113986, GL50803_114336, GL50803_115232		SS50377_27539
OG0000392	GL50803_15084, GL50803_32097	GMRT_12945	SS50377_27430
OG0000393	GL50803_101194	GMRT_11048	SS50377_21002, SS50377_23157
OG0000394	GL50803_7082	GMRT_14257	SS50377_26179, SS50377_28813
OG0000395	GL50803_5631	GMRT_15272, GMRT_16147	SS50377_27596
OG0000396	GL50803_17143	GMRT_16150	SS50377_24964, SS50377_24975
OG0000397	GL50803_9528	GMRT_11925	SS50377_23630, SS50377_23631
OG0000398	GL50803_14317	GMRT_10961	SS50377_23469, SS50377_28842
OG0000399	GL50803_11932	GMRT_10972	SS50377_27152, SS50377_27162
OG0000400	GL50803_8742		SS50377_21423, SS50377_26534, SS50377_26557
OG0000401	GL50803_102108	GMRT_12453	SS50377_20595, SS50377_20606
OG0000402	GL50803_2523	GMRT_10740	SS50377_20834, SS50377_20841
OG0000403	GL50803_15187, GL50803_1774	GMRT_13511	SS50377_21104
OG0000404	GL50803_103935	GMRT_14303	SS50377_28289, SS50377_28298
OG0000405	GL50803_29304	GMRT_16375	SS50377_27208, SS50377_27212
OG0000406	GL50803_17003	GMRT_11697	SS50377_20438, SS50377_20444
OG0000407	GL50803_40005	GMRT_10366, GMRT_22698	SS50377_26892
OG0000408	GL50803_13204	GMRT_10373	SS50377_24226, SS50377_24241
OG0000409	GL50803_15269	GMRT_14554	SS50377_21331, SS50377_21333
OG0000410	GL50803_15270	GMRT_14561	SS50377_23669, SS50377_27821
OG0000411	GL50803_29078	GMRT_12701	SS50377_24780, SS50377_24798
OG0000412	GL50803_17420	GMRT_12684	SS50377_27057, SS50377_27063
OG0000413	GL50803_24122	GMRT_12683	SS50377_25417, SS50377_27697
OG0000414	GL50803_103713, GL50803_9413	GMRT_12939	SS50377_28408
OG0000415	GL50803_17353, GL50803_d17353	GMRT_13122	SS50377_20111
OG0000416	GL50803_17352, GL50803_d17352	GMRT_13123	SS50377_27846
OG0000417	GL50803_14493, GL50803_27735	GMRT_13014	SS50377_26021
OG0000418	GL50803_40995, GL50803_d40995	GMRT_12279	SS50377_23037
OG0000419	GL50803_15606, GL50803_17371	GMRT_12280	SS50377_22577
OG0000420	GL50803_12223	GMRT_12263	SS50377_27249, SS50377_28737
OG0000421	GL50803_12216	GMRT_12267, GMRT_21042	SS50377_27538
OG0000422	GL50803_21897	GMRT_12273	SS50377_22004, SS50377_26385
OG0000423	GL50803_113021	GMRT_12243	SS50377_25739, SS50377_25740
OG0000424	GL50803_93693	GMRT_12281	SS50377_25958, SS50377_25972
OG0000425	GL50803_20593	GMRT_10762	SS50377_23082, SS50377_23088
OG0000426	GL50803_15983	GMRT_21507	SS50377_21590, SS50377_21606
OG0000427	GL50803_13350	GMRT_12239	SS50377_22098, SS50377_24598
OG0000428	GL50803_8364	GMRT_12229	SS50377_24266, SS50377_24271
OG0000429	GL50803_10924	GMRT_16367, GMRT_24889	SS50377_23243
OG0000430	GL50803_92518	GMRT_12122, GMRT_12479	SS50377_23167
OG0000431	GL50803_92498	GMRT_12472	SS50377_26271, SS50377_26466
OG0000432	GL50803_135269, GL50803_135270	GMRT_13242, GMRT_22382	
OG0000433	GL50803_11247	GMRT_13502	SS50377_28319, SS50377_28321
OG0000434	GL50803_4711	GMRT_13477	SS50377_26421, SS50377_28809
OG0000435	GL50803_16544, GL50803_30233	GMRT_10929	SS50377_28307
OG0000436	GL50803_32741	GMRT_10945	SS50377_25802, SS50377_25804
OG0000437	GL50803_95878	GMRT_14104	SS50377_25240, SS50377_25244
OG0000438	GL50803_137753	GMRT_13094, GMRT_21336	SS50377_22123
OG0000439	GL50803_28234	GMRT_13093	SS50377_24144, SS50377_26983
OG0000440	GL50803_22084	GMRT_10393	SS50377_22059, SS50377_22069
OG0000441	GL50803_3372	GMRT_10950, GMRT_21196	SS50377_21220
OG0000442	GL50803_6184	GMRT_11241, GMRT_21919	SS50377_26499
OG0000443	GL50803_14661	GMRT_11377	SS50377_24791, SS50377_24813
OG0000444	GL50803_90024	GMRT_12997	SS50377_27670, SS50377_28052
OG0000445	GL50803_17236	GMRT_12999	SS50377_23828, SS50377_23832
OG0000446	GL50803_13231	GMRT_14177	SS50377_27161, SS50377_27163
OG0000447	GL50803_13671	GMRT_21108, GMRT_22682, GMRT_22708	
OG0000448	GL50803_17625	GMRT_14462	SS50377_24010, SS50377_24017
OG0000449	GL50803_12150	GMRT_11424	SS50377_26101, SS50377_26137
OG0000450	GL50803_42285	GMRT_14471	SS50377_23477, SS50377_25374
OG0000451	GL50803_16963	GMRT_14469	SS50377_27297, SS50377_27302
OG0000452	GL50803_7139	GMRT_12518	SS50377_25844, SS50377_25858
OG0000453	GL50803_16956	GMRT_11977, GMRT_25091, GMRT_25127	
OG0000454	GL50803_4343	GMRT_11891	SS50377_20995, SS50377_21013
OG0000455	GL50803_88071	GMRT_10104, GMRT_12570	SS50377_22087
OG0000456	GL50803_14247, GL50803_40224	GMRT_12715	SS50377_26413
OG0000457	GL50803_16803	GMRT_12588	SS50377_20989, SS50377_28012
OG0000458	GL50803_10335	GMRT_12564	SS50377_26424, SS50377_28806
OG0000459	GL50803_10315	GMRT_12556	SS50377_20777, SS50377_25936
OG0000460	GL50803_11885	GMRT_11918	SS50377_25841, SS50377_25852
OG0000461	GL50803_11044	GMRT_11928	SS50377_21157, SS50377_23105
OG0000462	GL50803_15089	GMRT_12744	SS50377_20636, SS50377_20640
OG0000463	GL50803_10019	GMRT_12601	SS50377_26740, SS50377_26749
OG0000464	GL50803_14583	GMRT_12718	SS50377_23076, SS50377_23138
OG0000465	GL50803_7909	GMRT_12720	SS50377_21871, SS50377_25611
OG0000466	GL50803_24636	GMRT_10906	SS50377_22950, SS50377_22953
OG0000467	GL50803_6436		SS50377_22977, SS50377_22991, SS50377_22993
OG0000468	GL50803_113723, GL50803_11772	GMRT_13189	SS50377_22164
OG0000469	GL50803_4507	GMRT_13195	SS50377_21837, SS50377_21970
OG0000470	GL50803_7982	GMRT_13794	SS50377_20338, SS50377_20341
OG0000471	GL50803_16157	GMRT_13803	SS50377_23467, SS50377_28844
OG0000472	GL50803_37350	GMRT_13237	SS50377_25543, SS50377_27345
OG0000473	GL50803_4708	GMRT_13229	SS50377_25831, SS50377_25833
OG0000474	GL50803_10885	GMRT_15613	SS50377_23470, SS50377_28841
OG0000475	GL50803_12163	GMRT_11431, GMRT_20536	SS50377_25647
OG0000476	GL50803_9133	GMRT_12946	SS50377_20803, SS50377_20818
OG0000477	GL50803_480	GMRT_11966	SS50377_24792, SS50377_24812
OG0000478	GL50803_11380	GMRT_11964	SS50377_25524, SS50377_26625
OG0000479	GL50803_90872	GMRT_13172, GMRT_22299	SS50377_22866
OG0000480	GL50803_11487	GMRT_14246	SS50377_27243, SS50377_28731
OG0000481	GL50803_11497	GMRT_11976, GMRT_25128	SS50377_24644
OG0000482	GL50803_14748	GMRT_14235	SS50377_26629, SS50377_26650
OG0000483	GL50803_8513	GMRT_14967	SS50377_23465, SS50377_28845
OG0000484	GL50803_10813	GMRT_15261	SS50377_20352, SS50377_23689
OG0000485	GL50803_9618	GMRT_15232	SS50377_23597, SS50377_23614
OG0000486	GL50803_8227, GL50803_92223	GMRT_15231	SS50377_24664
OG0000487	GL50803_15954	GMRT_15230	SS50377_21206, SS50377_21213
OG0000488	GL50803_23015	GMRT_15193	SS50377_26330, SS50377_26337
OG0000489	GL50803_16893	GMRT_11849	SS50377_25825, SS50377_28390
OG0000490	GL50803_16894	GMRT_11848	SS50377_26873, SS50377_26880
OG0000491	GL50803_11716	GMRT_11825, GMRT_11826	SS50377_24403
OG0000492	GL50803_34134	GMRT_15899	SS50377_24339, SS50377_27486
OG0000493	GL50803_9087	GMRT_15871	SS50377_27281, SS50377_28817
OG0000494	GL50803_14861	GMRT_15873	SS50377_21759, SS50377_24721
OG0000495	GL50803_10676	GMRT_15883	SS50377_23454, SS50377_24703
OG0000496	GL50803_3974	GMRT_15864	SS50377_24225, SS50377_24240
OG0000497	GL50803_15501	GMRT_11478	SS50377_23290, SS50377_23291
OG0000498	GL50803_32312	GMRT_11487	SS50377_23952, SS50377_23955
OG0000499	GL50803_3032	GMRT_11486	SS50377_23782, SS50377_23799
OG0000500	GL50803_9376	GMRT_13379, GMRT_23517	SS50377_23420
OG0000501	GL50803_9382	GMRT_15296	SS50377_22471, SS50377_24586
OG0000502	GL50803_14369	GMRT_11480	SS50377_26126, SS50377_26263
OG0000503	GL50803_40817	GMRT_15508	SS50377_27253, SS50377_27260
OG0000504	GL50803_14785	GMRT_16348	SS50377_25638, SS50377_25641
OG0000505	GL50803_4498	GMRT_13173, GMRT_22298	SS50377_22146
OG0000506	GL50803_24376	GMRT_11447	SS50377_20819, SS50377_25955
OG0000507	GL50803_13372	GMRT_16322	SS50377_22798, SS50377_28791
OG0000508	GL50803_8626	GMRT_11707	SS50377_27528, SS50377_27529
OG0000509	GL50803_61550	GMRT_11522	SS50377_22811, SS50377_22819
OG0000510	GL50803_87358	GMRT_12419	SS50377_22388, SS50377_22415
OG0000511	GL50803_87446	GMRT_12182	SS50377_25876, SS50377_25889
OG0000512	GL50803_11867	GMRT_12632, GMRT_23423	SS50377_23728
OG0000513	GL50803_17044	GMRT_12638	SS50377_24825, SS50377_24841
OG0000514	GL50803_17345	GMRT_12656	SS50377_22883, SS50377_22886
OG0000515	GL50803_17327	GMRT_15593	SS50377_21173, SS50377_24298
OG0000516	GL50803_87202	GMRT_11984	SS50377_26054, SS50377_26070
OG0000517	GL50803_7511	GMRT_10865	SS50377_23629, SS50377_23637
OG0000518	GL50803_8382	GMRT_10828	SS50377_20389, SS50377_20393
OG0000519	GL50803_115464, GL50803_115465	GMRT_10849	SS50377_23440
OG0000520	GL50803_115694, GL50803_115695	GMRT_13572	SS50377_22470
OG0000521	GL50803_27027	GMRT_11641	SS50377_20109, SS50377_25294
OG0000522	GL50803_11984	GMRT_15743, GMRT_24038	SS50377_22191
OG0000523	GL50803_15549	GMRT_11649	SS50377_22803, SS50377_27027
OG0000524	GL50803_11990	GMRT_21130	SS50377_25066, SS50377_25077
OG0000525	GL50803_101850	GMRT_14640	SS50377_22455, SS50377_24528
OG0000526	GL50803_112885	GMRT_14890	SS50377_20381, SS50377_20387
OG0000527	GL50803_2012	GMRT_10531	SS50377_27014, SS50377_27021
OG0000528	GL50803_29327	GMRT_10537, GMRT_14109	SS50377_25242
OG0000529	GL50803_10843	GMRT_14909	SS50377_23090, SS50377_23106
OG0000530	GL50803_15303	GMRT_13287	SS50377_24484, SS50377_24822
OG0000531	GL50803_10858	GMRT_10523	SS50377_27440, SS50377_27442
OG0000532	GL50803_15295	GMRT_10556	SS50377_22932, SS50377_22933
OG0000533	GL50803_10836	GMRT_16280	SS50377_23947, SS50377_23960
OG0000534	GL50803_8241	GMRT_10512	SS50377_20154, SS50377_21946
OG0000535	GL50803_8228	GMRT_13997, GMRT_20414	SS50377_25545
OG0000536	GL50803_14620	GMRT_10597	SS50377_27250, SS50377_28738
OG0000537	GL50803_26364	GMRT_10600	SS50377_22781, SS50377_22785
OG0000538		GMRT_12096, GMRT_14162, GMRT_15381	SS50377_20866
OG0000539		GMRT_21623, GMRT_21624, GMRT_22946, GMRT_24410	
OG0000540		GMRT_11239, GMRT_21921, GMRT_24444, GMRT_fx012	
OG0000541		GMRT_21984, GMRT_21994, GMRT_22958, GMRT_23676	
OG0000542		GMRT_12784	SS50377_20723, SS50377_20737, SS50377_20749
OG0000543			SS50377_20025, SS50377_20242, SS50377_23158, SS50377_23333
OG0000544			SS50377_20114, SS50377_22841, SS50377_22854, SS50377_26643
OG0000545			SS50377_20153, SS50377_25701, SS50377_27333, SS50377_28241
OG0000546			SS50377_20217, SS50377_20942, SS50377_28316, SS50377_28336
OG0000547			SS50377_20302, SS50377_20323, SS50377_20811, SS50377_26005
OG0000548			SS50377_20511, SS50377_20536, SS50377_20538, SS50377_25449
OG0000549			SS50377_20634, SS50377_20642, SS50377_20797, SS50377_21123
OG0000550			SS50377_20806, SS50377_20807, SS50377_20814, SS50377_20815
OG0000551			SS50377_20832, SS50377_20843, SS50377_20867, SS50377_25899
OG0000552			SS50377_20854, SS50377_21822, SS50377_21850, SS50377_26135
OG0000553			SS50377_20966, SS50377_21245, SS50377_22012, SS50377_22189
OG0000554			SS50377_21117, SS50377_24331, SS50377_24718, SS50377_28304
OG0000555			SS50377_21182, SS50377_25109, SS50377_25974, SS50377_25993
OG0000556			SS50377_21397, SS50377_26151, SS50377_27115, SS50377_27134
OG0000557			SS50377_21433, SS50377_21644, SS50377_21667, SS50377_21743
OG0000558			SS50377_21435, SS50377_21549, SS50377_21646, SS50377_21693
OG0000559			SS50377_21539, SS50377_27165, SS50377_27174, SS50377_28353
OG0000560			SS50377_21578, SS50377_21611, SS50377_21636, SS50377_21690
OG0000561			SS50377_21834, SS50377_26752, SS50377_28116, SS50377_28132
OG0000562			SS50377_21868, SS50377_22627, SS50377_26422, SS50377_28808
OG0000563			SS50377_21968, SS50377_23791, SS50377_23798, SS50377_23809
OG0000564			SS50377_22015, SS50377_22019, SS50377_24310, SS50377_24898
OG0000565			SS50377_22183, SS50377_23979, SS50377_24525, SS50377_28337
OG0000566			SS50377_22430, SS50377_23254, SS50377_24782, SS50377_24800
OG0000567			SS50377_22561, SS50377_23487, SS50377_25895, SS50377_26113
OG0000568			SS50377_22720, SS50377_22721, SS50377_22744, SS50377_25950
OG0000569			SS50377_22793, SS50377_26519, SS50377_27238, SS50377_28785
OG0000570			SS50377_22814, SS50377_22816, SS50377_22827, SS50377_28706
OG0000571			SS50377_22896, SS50377_24980, SS50377_24989, SS50377_28508
OG0000572			SS50377_22979, SS50377_27754, SS50377_27769, SS50377_27800
OG0000573			SS50377_23729, SS50377_23731, SS50377_25259, SS50377_28082
OG0000574			SS50377_23871, SS50377_26641, SS50377_26660, SS50377_27850
OG0000575			SS50377_23877, SS50377_23878, SS50377_23892, SS50377_23893
OG0000576			SS50377_24042, SS50377_24050, SS50377_24055, SS50377_24099
OG0000577			SS50377_24073, SS50377_24079, SS50377_24092, SS50377_24108
OG0000578			SS50377_24146, SS50377_24162, SS50377_24164, SS50377_24174
OG0000579			SS50377_24784, SS50377_24795, SS50377_24801, SS50377_24804
OG0000580			SS50377_25125, SS50377_25127, SS50377_25187, SS50377_25265
OG0000581			SS50377_25214, SS50377_25215, SS50377_28326, SS50377_28643
OG0000582			SS50377_25863, SS50377_25869, SS50377_25882, SS50377_26265
OG0000583			SS50377_25920, SS50377_25926, SS50377_25941, SS50377_25947
OG0000584			SS50377_25921, SS50377_25925, SS50377_25942, SS50377_25946
OG0000585			SS50377_25957, SS50377_25973, SS50377_26301, SS50377_26304
OG0000586			SS50377_26028, SS50377_26052, SS50377_26072, SS50377_26094
OG0000587			SS50377_26189, SS50377_26192, SS50377_26197, SS50377_26200
OG0000588			SS50377_26428, SS50377_26432, SS50377_26438, SS50377_26440
OG0000589			SS50377_26974, SS50377_26975, SS50377_26995, SS50377_26996
OG0000590			SS50377_27278, SS50377_27284, SS50377_27303, SS50377_28820
OG0000591			SS50377_28089, SS50377_28103, SS50377_28113, SS50377_28240
OG0000592			SS50377_28697, SS50377_28698, SS50377_28703, SS50377_28704
OG0000593	GL50803_16313	GMRT_16386	SS50377_26172
OG0000594	GL50803_8037	GMRT_13163	SS50377_28605
OG0000595	GL50803_8035	GMRT_13164	SS50377_26194
OG0000596	GL50803_14614	GMRT_13165	SS50377_21932
OG0000597	GL50803_2452	GMRT_13160	SS50377_27121
OG0000598	GL50803_16311	GMRT_13159	SS50377_20428
OG0000599	GL50803_16310	GMRT_13157	SS50377_24170
OG0000600	GL50803_22165	GMRT_13158	SS50377_25452
OG0000601	GL50803_12945	GMRT_13156	SS50377_21805
OG0000602	GL50803_15250, GL50803_41942, GL50803_d15250		
OG0000603	GL50803_6702	GMRT_12494	SS50377_26832
OG0000604	GL50803_6700	GMRT_13146	SS50377_20081
OG0000605	GL50803_14278	GMRT_13145	SS50377_24411
OG0000606	GL50803_14277	GMRT_13152	SS50377_28267
OG0000607	GL50803_17025	GMRT_13153	SS50377_24479
OG0000608	GL50803_95661	GMRT_13154	SS50377_22048
OG0000609	GL50803_95653	GMRT_15611	SS50377_25875
OG0000610	GL50803_8444	GMRT_13140	SS50377_23392
OG0000611	GL50803_23767, GL50803_61708	GMRT_14883	
OG0000612	GL50803_10612	GMRT_16101	SS50377_28154
OG0000613	GL50803_10609	GMRT_16098	SS50377_20227
OG0000614	GL50803_10608	GMRT_16097	SS50377_22031
OG0000615	GL50803_16363	GMRT_12493	SS50377_26463
OG0000616	GL50803_16364	GMRT_16089	SS50377_23777
OG0000617	GL50803_3896	GMRT_16085	SS50377_20906
OG0000618	GL50803_88581	GMRT_10283	SS50377_20868
OG0000619	GL50803_5328	GMRT_15276	SS50377_23609
OG0000620	GL50803_5333	GMRT_15284	SS50377_22906
OG0000621	GL50803_16299	GMRT_16082	SS50377_20156
OG0000622	GL50803_2833	GMRT_16083	SS50377_20616
OG0000623	GL50803_2834	GMRT_16084	SS50377_23621
OG0000624	GL50803_17054	GMRT_16398	SS50377_27256
OG0000625	GL50803_91480	GMRT_10508	SS50377_24516
OG0000626	GL50803_96616	GMRT_11270	SS50377_23386
OG0000627	GL50803_17157	GMRT_11269	SS50377_21273
OG0000628	GL50803_10034	GMRT_10245	SS50377_26309
OG0000629	GL50803_15099	GMRT_13138	SS50377_25030
OG0000630	GL50803_17155	GMRT_13137	SS50377_24342
OG0000631	GL50803_10027	GMRT_13136	SS50377_23371
OG0000632	GL50803_13998	GMRT_12498	SS50377_27891
OG0000633	GL50803_7590, GL50803_9644	GMRT_10259	
OG0000634	GL50803_14490	GMRT_10265	SS50377_23432
OG0000635	GL50803_7588	GMRT_10264	SS50377_24280
OG0000636	GL50803_20307	GMRT_10263	SS50377_28317
OG0000637	GL50803_14487	GMRT_10268	SS50377_25755
OG0000638	GL50803_7578	GMRT_12362	SS50377_20575
OG0000639	GL50803_17149	GMRT_10271	SS50377_24351
OG0000640	GL50803_2338	GMRT_10211	SS50377_22972
OG0000641	GL50803_15110	GMRT_10213	SS50377_27374
OG0000642	GL50803_16376	GMRT_10214	SS50377_22200
OG0000643	GL50803_34684	GMRT_10215	SS50377_23459
OG0000644	GL50803_15112	GMRT_10216	SS50377_23618
OG0000645	GL50803_15113	GMRT_10205	SS50377_28002
OG0000646	GL50803_10091	GMRT_10204	SS50377_23623
OG0000647	GL50803_16375	GMRT_10220	SS50377_25126
OG0000648	GL50803_15867	GMRT_11689	SS50377_22327
OG0000649	GL50803_15868	GMRT_11688	SS50377_25497
OG0000650	GL50803_22850	GMRT_11686	SS50377_27857
OG0000651	GL50803_16263	GMRT_11685	SS50377_20310
OG0000652	GL50803_12949	GMRT_11684	SS50377_23564
OG0000653	GL50803_2261	GMRT_11683	SS50377_23423
OG0000654	GL50803_60147	GMRT_10208	SS50377_23533
OG0000655	GL50803_16264	GMRT_10209	SS50377_22321
OG0000656	GL50803_16265	GMRT_10210	SS50377_23525
OG0000657	GL50803_8407	GMRT_11680	SS50377_28189
OG0000658	GL50803_8405	GMRT_11682	SS50377_22919
OG0000659	GL50803_14699	GMRT_13970	SS50377_23626
OG0000660	GL50803_16267	GMRT_13971	SS50377_28235
OG0000661	GL50803_8657	GMRT_11277	SS50377_26962
OG0000662	GL50803_8652	GMRT_11280, GMRT_12537	
OG0000663	GL50803_14753	GMRT_11282	SS50377_22885
OG0000664	GL50803_12795	GMRT_11077	SS50377_26602
OG0000665	GL50803_15897, GL50803_91252	GMRT_14862	
OG0000666	GL50803_15898	GMRT_11095	SS50377_25515
OG0000667	GL50803_4463	GMRT_14663	SS50377_25330
OG0000668	GL50803_14842	GMRT_14681	SS50377_27500
OG0000669	GL50803_91398	GMRT_23278	SS50377_27808
OG0000670	GL50803_21234	GMRT_14684	SS50377_27510
OG0000671	GL50803_9043	GMRT_14685	SS50377_27673
OG0000672	GL50803_9045	GMRT_14686	SS50377_24610
OG0000673	GL50803_100864	GMRT_13424	SS50377_28439
OG0000674	GL50803_5070	GMRT_11663	SS50377_24536
OG0000675	GL50803_14456	GMRT_11670	SS50377_28028
OG0000676	GL50803_14457	GMRT_11669	SS50377_23606
OG0000677	GL50803_7439	GMRT_11657	SS50377_26682
OG0000678	GL50803_7444	GMRT_11651	SS50377_24261
OG0000679	GL50803_24505	GMRT_11652	SS50377_23625
OG0000680	GL50803_2732	GMRT_13974	SS50377_22532
OG0000681	GL50803_17102	GMRT_13143	SS50377_24576
OG0000682	GL50803_17103	GMRT_20170, GMRT_24689	
OG0000683	GL50803_17104	GMRT_24688	SS50377_21210
OG0000684	GL50803_102051		SS50377_25278, SS50377_25291
OG0000685	GL50803_17105	GMRT_14669	SS50377_24550
OG0000686	GL50803_6422	GMRT_14682	SS50377_22369
OG0000687	GL50803_17106	GMRT_14678	SS50377_26164
OG0000688	GL50803_14200	GMRT_14677	SS50377_22493
OG0000689	GL50803_6430	GMRT_14676	SS50377_23506
OG0000690	GL50803_2906	GMRT_14674	SS50377_26994
OG0000691	GL50803_22338	GMRT_11101	SS50377_22680
OG0000692	GL50803_1656	GMRT_11097	SS50377_28005
OG0000693	GL50803_17112	GMRT_11096	SS50377_27595
OG0000694	GL50803_8819	GMRT_11323	SS50377_28283
OG0000695	GL50803_8822	GMRT_11320	SS50377_26165
OG0000696	GL50803_1903	GMRT_11315	SS50377_22302
OG0000697	GL50803_104031	GMRT_11316	SS50377_23268
OG0000698	GL50803_2366	GMRT_11317	SS50377_28213
OG0000699	GL50803_16547	GMRT_11318	SS50377_24118
OG0000700	GL50803_16548	GMRT_11311	SS50377_23864
OG0000701	GL50803_16549	GMRT_13757	SS50377_23695
OG0000702	GL50803_14364	GMRT_13758	SS50377_22325
OG0000703	GL50803_32730	GMRT_11274	SS50377_24401
OG0000704	GL50803_16556	GMRT_11273	SS50377_24788
OG0000705	GL50803_16194	GMRT_11291	SS50377_22076
OG0000706	GL50803_35180	GMRT_11285	SS50377_22278
OG0000707	GL50803_14242		SS50377_23179, SS50377_23180
OG0000708	GL50803_6564	GMRT_11288	SS50377_25353
OG0000709	GL50803_6563	GMRT_11290	SS50377_22868
OG0000710	GL50803_6559	GMRT_20365, GMRT_23002	
OG0000711	GL50803_6556	GMRT_12963, GMRT_16363	
OG0000712	GL50803_16573	GMRT_12965, GMRT_23005	
OG0000713	GL50803_9808	GMRT_12969	SS50377_22237
OG0000714	GL50803_9810	GMRT_12970	SS50377_28620
OG0000715	GL50803_60211	GMRT_10509	SS50377_27254
OG0000716	GL50803_15054	GMRT_15003	SS50377_27995
OG0000717	GL50803_104685	GMRT_15002	SS50377_25189
OG0000718	GL50803_40783	GMRT_12501	SS50377_23649
OG0000719	GL50803_33809	GMRT_12503	SS50377_22601
OG0000720	GL50803_98054	GMRT_12388	SS50377_28802
OG0000721	GL50803_3269, GL50803_5206, GL50803_95451		
OG0000722	GL50803_90950	GMRT_10068	SS50377_24381
OG0000723	GL50803_16463	GMRT_12380	SS50377_24937
OG0000724	GL50803_17243	GMRT_11576	SS50377_23547
OG0000725	GL50803_3565	GMRT_15536	SS50377_24283
OG0000726	GL50803_6283	GMRT_15539	SS50377_23725
OG0000727	GL50803_14626	GMRT_15542	SS50377_22477
OG0000728	GL50803_4007	GMRT_15541	SS50377_23636
OG0000729	GL50803_4008	GMRT_14267	SS50377_26807
OG0000730	GL50803_34058	GMRT_12064	SS50377_26405
OG0000731	GL50803_2007	GMRT_14268	SS50377_25144
OG0000732	GL50803_2710	GMRT_14265	SS50377_26981
OG0000733	GL50803_16356	GMRT_15545	SS50377_25763
OG0000734	GL50803_14677	GMRT_15546	SS50377_21259
OG0000735	GL50803_8253	GMRT_15555	SS50377_24343
OG0000736	GL50803_24818	GMRT_15556	SS50377_25684
OG0000737	GL50803_13323	GMRT_15576	SS50377_23843
OG0000738	GL50803_3341	GMRT_15561	SS50377_26808
OG0000739	GL50803_16953	GMRT_15559	SS50377_21121
OG0000740	GL50803_3345	GMRT_15558	SS50377_26971
OG0000741	GL50803_28526	GMRT_15584	SS50377_24445
OG0000742	GL50803_8423	GMRT_15585	SS50377_23591
OG0000743	GL50803_93103	GMRT_15586	SS50377_26341
OG0000744	GL50803_8426	GMRT_15587	SS50377_20940
OG0000745	GL50803_8427	GMRT_15589	SS50377_24549
OG0000746	GL50803_8430	GMRT_15579	SS50377_20936
OG0000747	GL50803_16951	GMRT_15571	SS50377_24420
OG0000748	GL50803_8432	GMRT_15570	SS50377_24425
